"","dd.p","mlr.p","mlr.v2.p","fisher.p","binom.p","lr.p","dd.fdr","mlr.fdr","mlr.v2.fdr","fisher.fdr","binom.fdr","lr.fdr","mut.E1","mut.E0","E1","E0","gene","mode","alpha","significant","tumor","pheno"
"CUL3","0.0187742209139293","0.0027660559236418","0.0044508200622173","0.00746326780886763","0.00639138346603183","0.00586115108300327","0.088507041451381","0.0359286133292554","0.0367192655132927","0.0615719594231579","0.0527289135947626","0.095279674121842","6","9","355","128","CUL3","sig","-2.767932459997885","true","HNSC","C2"
"EP3001","0.000410724149302816","0.0057772222788011","0.00425846058657166","0.00640432519173736","0.00506531236146809","0.0148018983541927","0.00677694846349647","0.0381296670400872","0.0367192655132927","0.0615719594231579","0.0527289135947626","0.107730917244282","31","2","355","128","EP300","sig","4.156073440008168","true","HNSC","C2"
"GPATCH8","0.0179135151533177","0.00167686916981784","0.00255542767895895","0.00638434658215657","0.00580369316931512","0.00866178855653109","0.088507041451381","0.0359286133292554","0.0367192655132927","0.0615719594231579","0.0527289135947626","0.095279674121842","2","6","355","128","GPATCH8","sig","-3.509119077266043","true","HNSC","C2"
"HLA-B1","0.00681081384656975","0.0281950183225754","0.0148134606762334","0.0152763611019025","0.0162591379301325","0.981318906445024","0.0561892142342004","0.116304450580624","0.0611055252894629","0.0895662127225115","0.0814148399024016","0.981318906445024","15","0","355","128","HLA-B","sig","2.869538538967499","true","HNSC","C2"
"HRAS1","0.000231247196955398","0.00365458850057166","0.0033941815662035","0.00128638585466299","0.00101297186812182","0.0195874394989603","0.00677694846349647","0.0359286133292554","0.0367192655132927","0.0424507332038786","0.0334280716480199","0.107730917244282","31","1","355","128","HRAS","sig","2.432199096514018","true","HNSC","C2"
"SMARCA41","0.0149174317059956","0.00435498343384914","0.00592423098536504","0.0178746468563096","0.016533850997427","0.00741388204961706","0.088507041451381","0.0359286133292554","0.0390999245034093","0.0895662127225115","0.0814148399024016","0.095279674121842","9","10","355","128","SMARCA4","sig","-2.234977959547177","true","HNSC","C2"
"KRAS11","0.00431519311940497","0.0059174331542048","0.00447998787001235","0.0473839003062421","0.0235554745972777","0.00649198783903609","0.0819886692686944","0.037477076643297","0.0425598847651174","0.300098035272867","0.149184672449426","0.0411159229805619","29","102","132","287","KRAS","sig","-1.382555406834519","true","LUAD","C2"
"KIT1","0.0000174132247144228","0.0005526615680254","0.000722428934962005","0.000671594792803239","0.000415946550177422","0.989459205159457","0.0000522396741432685","0.0016579847040762","0.00216728680488602","0.00201478437840972","0.00124783965053227","0.989459205159457","24","0","103","44","KIT","sig","5.038135240849078","true","TGCT","C2"
"KRAS2","0.00467485026659772","0.0212333335944135","0.0304269896939914","0.0427707352508543","0.0320199900602918","0.048365927211508","0.00701227539989657","0.0318500003916203","0.0456404845409871","0.0641561028762815","0.0480299850904378","0.145097781634524","16","1","103","44","KRAS","sig","3.1691650940488","true","TGCT","C2"
"NRAS1","0.0390927776333411","0.10348948734067","0.142138259331101","0.182821754768234","0.188267980212925","0.987151498219222","0.0390927776333411","0.10348948734067","0.142138259331101","0.182821754768234","0.188267980212925","0.989459205159457","6","0","103","44","NRAS","sig","2.878139189808814","true","TGCT","C2"
"CTNNB11","0.0000364910238131761","0.0000106929555983714","0.00000340543760936036","0.00095381923548798","0.000207293475898408","0.0000612741463209398","0.00119079299416074","0.000213859111967427","0.0000681087521872071","0.0190763847097596","0.00414586951796817","0.0012254829264188","8","60","71","152","CTNNB1","sig","-1.715221839206206","true","UCEC","C2"
"TP532","0.0000595396497080369","5.08994393289881e-7","6.59649137269761e-7","0.000448463700534052","0.0000821269071709347","0.00000262909524761577","0.00119079299416074","0.0000203597757315952","0.0000263859654907904","0.0179385480213621","0.00328507628683739","0.000105163809904631","31","22","71","152","TP53","sig","1.584634606376209","true","UCEC","C2"
"CBFB","0.00316609724204352","0.00287184188249004","0.0027783509070945","0.0109331579810939","0.010188835431788","0.00687422218655188","0.019788107762772","0.0179490117655627","0.0173646931693406","0.091109649842449","0.084906961931567","0.0429638886659492","6","6","163","767","CBFB","sig","2.73503461316733","true","BRCA","C3"
"CDH11","0.00100792338453635","0.00161170821996775","0.000530835268919392","0.00741365701978915","0.00453738200066681","0.00228752706468838","0.00847818432113422","0.0134309018330646","0.0066354408614924","0.091109649842449","0.0567172750083351","0.0190627255390698","17","33","163","767","CDH1","sig","2.857010793085279","true","BRCA","C3"
"PIK3CA1","0.00101738211853611","0.0012052226352527","0.00117909444417044","0.0379459410438451","0.0146651295210674","0.00133860875096255","0.00847818432113422","0.0134309018330646","0.00982578703475371","0.237162131524032","0.091657059506671","0.0167326093870319","73","245","163","767","PIK3CA","sig","2.127186232591373","true","BRCA","C3"
"TP533","6.45418629178919e-7","1.94504013184566e-10","6.577854577782011e-9","4.21587858545664e-9","1.2798336019975e-10","4.76197743209984e-8","0.000016135465729473","4.862600329614151e-9","1.6444636444455e-7","1.05396964636416e-7","3.19958400499376e-9","0.00000119049435802496","8","219","163","767","TP53","sig","-5.229386283993301","true","BRCA","C3"
"CUL31","0.0452526967311621","0.0218394002603494","0.0220738227910918","0.12205787670173","0.0665555469444096","0.0360542688869555","0.0905053934623243","0.0436788005206988","0.0441476455821837","0.24411575340346","0.133111093888819","0.097764093941979","4","5","197","73","CUL3","sig","-1.925161257918813","true","KIRP","C3"
"MET","0.0325240526300701","0.0210729561211758","0.0203229678853115","0.0314783724307287","0.0229051058592207","0.0488820469709895","0.0905053934623243","0.0436788005206988","0.0441476455821837","0.125913489722915","0.0916204234368828","0.097764093941979","19","1","197","73","MET","sig","2.018607149033977","true","KIRP","C3"
"BAP1","0.027058223969431","0.0293247898067871","0.0243098726205514","0.047343962430141","0.0461600529666944","0.0431903767397459","0.0947037838930083","0.13684901909834","0.11344607222924","0.165703868505494","0.16156018538343","0.201555091452147","7","3","129","218","BAP1","sig","2.452330179940585","true","LIHC","C3"
"CTNNB12","0.005812535548605","0.00111591906806764","0.00152704816790192","0.00625683329652999","0.00228105431013456","0.00143768853889548","0.0347969813581386","0.00781143347647348","0.0106893371753134","0.0437978330757099","0.0159673801709419","0.0100638197722683","20","71","129","218","CTNNB1","sig","-2.622945480172421","true","LIHC","C3"
"NFE2L2","0.00745649600531541","0.0639082658952675","0.0754698455734178","0.0248814586347145","0.0242546786048917","0.0804929992770772","0.0347969813581386","0.223678930633436","0.259955782406555","0.116113473628668","0.113188500156161","0.28172549746977","8","3","129","218","NFE2L2","sig","2.120877344334951","true","LIHC","C3"
"TP531","0.000107006808079459","0.00000111958227023624","0.00000210764508178761","0.000178112324426985","0.0000284997543279382","0.00000548752895356096","0.00149809531311243","0.0000156741517833073","0.0000295070311450266","0.00249357254197779","0.000398996560591134","0.0000768254053498535","14","72","129","218","TP53","sig","-3.902060459347738","true","LIHC","C3"
"KRAS4","0.000278466845119891","0.019517448836229","0.0116323131437657","0.128733515955536","0.0750094488886375","0.0200263367899609","0.00529087005727794","0.0927078819720876","0.0736713165771828","0.468461025851697","0.285035905776823","0.126833466336419","63","68","169","250","KRAS","sig","1.964024344311186","true","LUAD","C3"
"SMARCA42","0.00477420558281377","0.000612411161828635","0.00636465886541074","0.000255168359672743","0.000191880424907927","0.00262817370892208","0.0453549530367308","0.00581790603737203","0.060464259221402","0.00461299545021176","0.00182286403662531","0.0249676502347598","3","29","169","250","SMARCA4","sig","-2.779575310429848","true","LUAD","C3"
"FOXA11","0.00329719509621309","0.000592507124243738","0.000934151940560195","0.00380986158751107","0.00332638846507944","0.00505825714841537","0.0461607313469833","0.00829509973941233","0.0130781271678427","0.053338062225155","0.0465694385111122","0.0708156000778151","2","6","302","95","FOXA1","sig","-3.281751937484366","true","PRAD","C3"
"FGFR31","0.000291785985656933","3.20003527588029e-7","2.3416980560687e-7","0.000365397223855983","0.0000764362361083068","0.00000481861626898952","0.0183825170963868","0.0000165148480618032","0.0000127637078659562","0.00767334170097565","0.00160516095827444","0.00030357282494634","15","43","32","344","FGFR3","sig","1.956092944980734","true","BLCA","C4"
"KRAS5","0.0013358031073734","5.24280890850895e-7","4.0519707510972e-7","0.000607673780294027","0.000384788645836345","0.0000481442371107008","0.0420777978822622","0.0000165148480618032","0.0000127637078659562","0.00957086203963093","0.00606042117192244","0.00151654346898708","6","7","32","344","KRAS","sig","2.384556675054996","true","BLCA","C4"
"ATG16L1","0.0224148617856315","0.00121584485486676","0.000473143152561075","0.0470588235294117","0.0330578512396694","0.994445223937893","0.0896594471425258","0.00486337941946703","0.0018925726102443","0.188235294117647","0.132231404958678","0.995786560916405","2","0","6","27","ATG16L1","sig","3.491607769713255","true","CHOL","C4"
"CTNNB13","0.000419191937313692","0.0000158513937549861","0.0000256219512318915","0.00094282981573507","0.000191090638893239","0.0000281725603997638","0.00586868712239169","0.000221919512569806","0.00035870731724648","0.013199617420291","0.00267526894450535","0.000394415845596694","58","33","153","194","CTNNB1","sig","3.024172271228398","true","LIHC","C4"
